family,directionalScore,scenario,totalBills,enactedBills,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,weakPublicMandatePassage,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,administrativeCost,administrativeFeasibility,amendmentRate,amendmentMovement,falseNegativePassRate,publicWillReviewRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes,interChamberConflictRate,secondChamberKillRate,conferenceRate,conferenceSuccessRate,routingDelayCost,shuttleRoundsToAgreement,suspensiveOverrideRate,bicameralDeadlockRate,dischargePetitionRate,committeeOverrideRate,committeeHearingRate,committeeQueueDelay,committeeAmendmentValueAdded,populationSeatDistortion,democraticResponsiveness,seatVoteDistortion,constituencyServiceConcentration,regionalTransferBias,malapportionmentIndex,smallConstituencyVetoRate,populationSupportedButBlockedRate,firstMoverWinRate,amendmentSurvivalRate,mediatorAddedTextShare,upperHouseAmendmentRetentionRate,suspensiveDelayUseRate,committeeAgendaConcentration,committeeCaptureIndex,committeeExpertiseScore,minorityCommitteeAccessRate,committeeFalsePositiveRate,committeeFalseNegativeRate,reportedBillSponsorDiversity,oppositionAmendmentSuccessRate,hearingDiversity,auditFollowThroughRate,scandalDetectionRate,appointmentCaptureRisk,eligibilityExclusionRate,expertiseRepresentationGap,constituencyAccountability,selectorCaptureIndex,legislatorExperienceStock,electoralResponsiveness,turnoverOutsideInfluenceShift,candidatePoolDiversity,contestedSeatRate,vacancyRate,renewalStaggeringIndex,nearTermRenewalShare,recusalRate,conflictDisclosureRate,revolvingDoorTransitionRate,sponsorIndustryAlignment,exAnteReviewRate,reviewDelay,exPostInvalidationRate,draftingErrorRate,referralPartisanSkew,forecastError,publicationCompliance,informationRequestFulfillment,institutionOverrideFrequency,oppositionTrustProxy,independenceInsulationScore,quietCaptureRisk
Conventional threshold,0.637369,Unicameral simple majority,2880,780,0.270833,1.000000,0.591203,0.620900,0.160118,0.217250,0.729167,0.000000,0.000000,0.000000,0.000000,0.197436,0.423383,0.114157,0.341263,0.223089,0.827085,0.698690,0.445016,0.000000,0.000000,0.000000,0.172915,0.070000,0.930000,0.000000,0.000000,0.000000,0.000000,0.109337,0.168160,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Content bargaining,0.619834,Unicameral majority + mediation,2880,974,0.338194,1.000000,0.583111,0.599005,0.197205,0.205534,0.661806,0.000000,0.000000,0.000000,0.000000,0.252567,0.371055,0.150298,0.395103,0.236424,0.831525,0.755459,0.495252,0.000000,0.000000,0.000000,0.168475,0.186424,0.813576,0.831597,0.161816,0.000000,0.000000,0.109337,0.202580,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Anti-capture,0.643783,Unicameral majority + lobby firewall,2880,784,0.272222,1.000000,0.605375,0.634194,0.164796,0.231732,0.727778,0.000000,0.000000,0.000000,0.000000,0.159439,0.396141,0.108922,0.317657,0.191606,0.843670,0.751092,0.361197,0.000000,0.000000,0.000000,0.156330,0.070000,0.930000,0.000000,0.000000,0.000000,0.000000,0.109337,0.172642,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Conventional threshold,0.617429,Unicameral 60 percent passage,2880,242,0.084028,1.000000,0.661484,0.715340,0.055583,0.357473,0.915972,0.000000,0.000000,0.000000,0.000000,0.033058,0.761635,0.017064,0.145884,0.184702,0.834563,0.292576,0.323241,0.000000,0.000000,0.000000,0.165437,0.070000,0.930000,0.000000,0.000000,0.000000,0.000000,0.109337,0.060108,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Conventional benchmark,0.627545,Stylized U.S.-like conventional benchmark,2880,143,0.049653,0.228819,0.677599,0.758669,0.033645,0.383202,0.950347,0.771181,0.000000,0.000000,0.000000,0.006993,0.842225,0.009020,0.130926,0.149719,0.818420,0.218341,0.235058,0.000000,0.000000,0.000000,0.181580,0.016017,0.983983,0.000000,0.000000,0.000000,0.000000,0.205592,0.037670,47,2,0.352049,0.341426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Conventional benchmark,0.620254,Stylized current-Congress workflow,2880,128,0.044444,0.309722,0.660087,0.728450,0.029337,0.347253,0.955556,0.597222,0.093056,0.000000,0.000000,0.031250,0.860744,0.007703,0.118080,0.143274,0.853446,0.165939,0.230887,0.000000,0.000000,0.000000,0.146554,0.033278,0.966722,0.049306,0.003524,0.000000,0.000000,0.202438,0.032376,52,0,0.230942,0.217489,0.070139,0.163366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Agenda gate,0.636864,Committee-first regular order,2880,451,0.156597,0.198958,0.608219,0.681236,0.095245,0.275602,0.843403,0.532292,0.268750,0.000000,0.000000,0.077605,0.600967,0.043550,0.218835,0.208550,0.868863,0.502183,0.366404,0.000000,0.000000,0.000000,0.131137,0.027365,0.972635,0.000000,0.000000,0.000000,0.000000,0.246370,0.106680,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Leadership and procedural veto points,0.634989,Leadership agenda cartel + majority,2880,480,0.166667,0.382986,0.605095,0.678033,0.100849,0.240805,0.833333,0.617014,0.000000,0.000000,0.000000,0.091667,0.566402,0.053748,0.259552,0.134871,0.825262,0.681223,0.235960,0.000000,0.000000,0.000000,0.174738,0.026809,0.973191,0.000000,0.000000,0.000000,0.000000,0.179708,0.113006,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Leadership and procedural veto points,0.618269,"Cloture, conference, and judicial review",2880,124,0.043056,0.281597,0.652355,0.738391,0.028088,0.332635,0.956944,0.641319,0.077083,0.000000,0.000000,0.024194,0.864286,0.008960,0.147591,0.144972,0.852844,0.165939,0.238455,0.000000,0.000000,0.000000,0.147156,0.035899,0.964101,0.087500,0.008315,0.000000,0.000000,0.210619,0.031792,63,0,0.241677,0.223181,0.114931,0.126888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Coalition access,0.643342,Parliamentary coalition confidence,2880,499,0.173264,0.210417,0.620727,0.708576,0.107550,0.282837,0.826736,0.789583,0.000000,0.000000,0.000000,0.052104,0.527508,0.050778,0.229975,0.143994,0.798351,0.685590,0.239473,0.000000,0.000000,0.000000,0.201649,0.014729,0.985271,0.000000,0.000000,0.000000,0.000000,0.214358,0.122771,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
